indeks_katalogowy,nazwa,zdjecie,rozmiar,material,vat,cena_FV_brutto,cena_detal,stan_magazynowy,producent,opis_tekstowy,jednostka_wymiaru,szerokosc,wysokosc,ostatnia_aktualizacja
51061/4L,51061/4L RAMKA PAMIĄTKA I KOMUNII ŚW.     13x18 CM,https://wikomistral.ddns.net/Obrazki/51061.4L_51061 4l.jpg,13x18 cm,Mirosilver,23,153.50,307.00,1,VALENTI & CO.SRL,,cm,"13,000","18,000",2025-11-01 02:42:15
53572,53572 ALBUM PAMIĄTKA CHRZTU ŚW. 21x15 CM,https://wikomistral.ddns.net/Obrazki/53572_53572.jpg,21x15 cm,Mirosilver,23,80.44,193.06,6,VALENTI & CO.SRL,,cm,"21,000","15,000",2025-11-01 02:42:15
6104/20,6104/20 OBRAZ W RAMIE ŚW. RODZINA 28x46  CM,https://wikomistral.ddns.net/Obrazki/6104.20_6104-20.JPG,28x46 cm,Mirosilver,23,512.97,923.35,32,Beltrami s.r.l.,,cm,"28,000","46,000",2025-11-01 02:42:15
6108/26,"6108/26 OBRAZ W RAMIE OSTATNIA WIECZERZA  65,5x51,5 CM",https://wikomistral.ddns.net/Obrazki/6108.26_6108-26.jpg,"65,5x51,5 cm",Mirosilver,23,830.80,1495.44,6,Beltrami s.r.l.,,cm,"65,500","51,500",2025-11-01 02:42:15
6108/3,"6108/3 OBRAZ W RAMIE ŚW. RODZINA  51,5x65,5 CM",https://wikomistral.ddns.net/Obrazki/6108.3_6108-3.jpg,"51,5x65,5 cm",Mirosilver,23,830.80,1495.44,22,Beltrami s.r.l.,Elegancki obraz w srebrnej ramie z paspartu za szkłem do powieszenia na ścianie. W środku umieszczona jest posrebrzana blaszka przedstawiająca Świętą Rodzinę 6380/7. Produkt zapakowany w eleganckie pudełko.,cm,"51,500","65,500",2025-11-01 02:42:15
6108/36,"6108/36 OBRAZ W RAMIE ŚW. RODZINA  51,5x65,5 CM",https://wikomistral.ddns.net/Obrazki/6108.36_6108-36.jpg,"51,5x65,5 cm",Mirosilver,23,830.80,1495.44,15,Beltrami s.r.l.,Obraz w srebrnej ramie za szkłem do powieszenia na ścianie. W środku umieszczona jest posrebrzana blaszka przedstawiająca Świętą Rodzinę.,cm,"51,500","65,500",2025-11-01 02:42:15
6108/37,"6108/37 OBRAZ W RAMIE ŚW. RODZINA  51,5x65,5 CM",https://wikomistral.ddns.net/Obrazki/6108.37_6108-37.jpg,"51,5x65,5 cm",Mirosilver,23,830.80,1495.44,12,Beltrami s.r.l.,Obraz w srebrnej ramie za szkłem do powieszenia na ścianie. W środku umieszczona jest posrebrzana blaszka przedstawiająca Świętą Rodzinę.,cm,"51,500","65,500",2025-11-01 02:42:15
6108/37S,"6108/37S OBRAZ W RAMIE ŚW. RODZINA  51,5x65,5 CM",https://wikomistral.ddns.net/Obrazki/6108.37S_6108-37S.jpg,"51,5x65,5 cm",Mirosilver,23,830.80,1495.44,5,Beltrami s.r.l.,Obraz w srebrnej ramie za szkłem do powieszenia na ścianie. W środku umieszczona jest posrebrzana blaszka przedstawiająca Świętą Rodzinę.,cm,"51,500","65,500",2025-11-01 02:42:15
6108/44,6108/44 OBRAZ W RAMIE ŚW. RODZINA 50x64   CM,https://wikomistral.ddns.net/Obrazki/6108.44_6108-44.jpg,50x64 cm,Mirosilver,23,830.80,1495.44,8,Beltrami s.r.l.,Obraz w srebrnej ramie za szkłem do powieszenia na ścianie. W środku umieszczona jest posrebrzana blaszka przedstawiająca Świętą Rodzinę.,cm,"50,000","64,000",2025-11-01 02:42:15
6287/2X,6287/2X OBRAZEK JAN PAWEŁ II 9x13 CM,https://wikomistral.ddns.net/Obrazki/6287.2X_6287 święty.jpg,9x13 cm,Mirosilver,23,155.41,310.82,16,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
