indeks_katalogowy,ilosc_wiko,nazwa_produktu,cena_FV_brutto,cena_detal,ostatnia_aktualizacja
6380SFW/5,11,6380SFW/5 PANEL ŚW. RODZINA 38x46 CM,543.35,978.03,2026-02-28 01:35:58
6380SFWP/2X,9,6380SFWP/2X PANEL ŚW. RODZINA 21x23 CM,169.43,338.86,2026-02-28 01:35:58
6380SFWP/3,13,"6380SFWP/3 PANEL ŚW. RODZINA 28x30,5 CM",269.92,485.86,2026-02-28 01:35:58
6380SFWP/5,7,6380SFWP/5 PANEL ŚW. RODZINA 38x46 CM,543.35,978.03,2026-02-28 01:35:58
6380SW/2X,40,6380SW/2X OBRAZEK ŚW. RODZINA 9x18 CM,142.56,313.63,2026-02-28 01:35:58
6380SW/2XFB,5,6380SW/2XFB PANEL ŚW. RODZINA 16x25 CM,165.93,331.86,2026-02-28 01:35:58
6380SW/2XTP,14,6380SW/2XTP OBRAZEK ŚW. RODZINA 13x22 CM,158.92,317.84,2026-02-28 01:35:58
6380SW/3,0,6380SW/3 OBRAZEK ŚW. RODZINA 12x24 CM,220.85,441.70,2026-02-28 01:35:58
6380SW/3FB,19,6380SW/3FB PANEL ŚW. RODZINA 21x33 CM,261.74,471.13,2026-02-28 01:35:58
6380SW/3TP,24,6380SW/3TP OBRAZEK ŚW. RODZINA 16x28 CM,246.55,493.10,2026-02-28 01:35:58
6380SW/5,12,6380SW/5 OBRAZ ŚW. RODZINA 18x36 CM,445.20,801.36,2026-02-28 01:35:58
6380SW/5TP,10,6380SW/5TP OBRAZ ŚW. RODZINA 24x42 CM,502.46,904.43,2026-02-28 01:35:58
6380SW/7,15,6380SW/7 OBRAZ ŚW. RODZINA 24x47 CM,749.01,1348.22,2026-02-28 01:35:58
6380SWM/2XA,0,6380SWM/2XA PANEL ŚW. RODZINA 16x24 CM,164.76,329.52,2026-02-28 01:35:58
6380SWM/3A,18,6380SWM/3A PANEL ŚW. RODZINA 21x31 CM,258.24,464.83,2026-02-28 01:35:58
6380SWM/5A,8,6380SWM/5A PANEL ŚW. RODZINA 31x46 CM,526.99,948.58,2026-02-28 01:35:58
6380SWP/2XA,0,6380SWP/2XA PANEL ŚW. RODZINA 16x24 CM,164.76,329.52,2026-02-28 01:35:58
6380SWP/3A,14,6380SWP/3A PANEL ŚW. RODZINA 21x31 CM,258.24,464.83,2026-02-28 01:35:58
6380SWP/5A,9,6380SWP/5A PANEL ŚW. RODZINA 31x46 CM,526.99,948.58,2026-02-28 01:35:58
6381/2,36,6381/2 OBRAZEK MATKA BOŻA 6x12 CM,86.47,207.53,2026-02-28 01:35:58
6381/2COL,86,6381/2COL OBRAZEK MATKA BOŻA 6x12 CM,92.31,221.54,2026-02-28 01:35:58
6381/2TP,17,6381/2TP OBRAZEK MATKA BOŻA 9x15 CM,93.48,224.35,2026-02-28 01:35:58
6381/2X,45,6381/2X OBRAZEK MATKA BOŻA 9x18 CM,142.56,313.63,2026-02-28 01:35:58
6381/2XCOL,7,6381/2XCOL OBRAZEK MATKA BOŻA 9x18 CM,153.07,306.14,2026-02-28 01:35:58
6381/2XTP,18,6381/2XTP OBRAZEK MATKA BOŻA 13x22 CM,158.92,317.84,2026-02-28 01:35:58
6381/3,25,6381/3 OBRAZEK MATKA BOŻA 12x24 CM,220.85,441.70,2026-02-28 01:35:58
6381/3COL,4,6381/3COL OBRAZEK MATKA BOŻA 12x24 CM,236.04,472.08,2026-02-28 01:35:58
6381/5,5,6381/5 OBRAZ MATKA BOŻA 18x36 CM,445.20,801.36,2026-02-28 01:35:58
6381F/2X,5,6381F/2X PANEL MATKA BOŻA 21x23 CM,169.43,338.86,2026-02-28 01:35:58
6381M/2XA,89,6381M/2XA PANEL MATKA BOŻA 16x24 CM,164.76,329.52,2026-02-28 01:35:58
6381P/2XA,0,6381P/2XA PANEL MATKA BOŻA 16x24 CM,164.76,329.52,2026-02-28 01:35:58
6387/2,1,6387/2 OBRAZEK ANIOŁEK 8x8 CM,42.44,110.34,2026-02-28 01:35:58
6404/2,30,6404/2 OBRAZEK ŚW. RODZINA 7x9 CM,79.46,190.70,2026-02-28 01:35:58
6404/3,23,6404/3 OBRAZEK ŚW. RODZINA 13x18 CM,186.96,373.92,2026-02-28 01:35:58
6404/5,17,6404/5 OBRAZ ŚW. RODZINA 26x35 CM,600.61,1081.10,2026-02-28 01:35:58
6410/1,8,"6410/1 KRZYŻ h11,5 CM",64.27,154.25,2026-02-28 01:35:58
6412/2,79,6412/2 OBRAZEK MATKA BOŻA KARMIĄCA 6x12   CM,86.47,207.53,2026-02-28 01:35:58
6412/3,5,6412/3 OBRAZEK MATKA BOŻA KARMIĄCA 12x24  CM,220.85,441.70,2026-02-28 01:35:58
6412/5,14,6412/5 OBRAZ MATKA BOŻA KARMIĄCA 18x36  CM,445.20,801.36,2026-02-28 01:35:58
6412F/5,1,6412F/5 PANEL MATKA BOŻA KARMIĄCA 38x46  CM,285.98,514.76,2026-02-28 01:35:58
6429/2,21,6429/2 OBRAZEK MATKA BOŻA KARMIĄCA 8x8  CM,80.63,193.51,2026-02-28 01:35:58
6429/2X,24,6429/2X OBRAZEK MATKA BOŻA KARMIĄCA  12x12 CM,130.87,287.91,2026-02-28 01:35:58
6429/3,27,6429/3 OBRAZEK MATKA BOŻA KARMIĄCA 16x16  CM,200.98,401.96,2026-02-28 01:35:58
6430/2,39,6430/2 OBRAZEK ANIOŁEK 8x8 CM,80.63,193.51,2026-02-28 01:35:58
6430/2W,254,6430/2W OBRAZEK ANIOŁEK 10x10 CM,86.47,207.53,2026-02-28 01:35:58
6430/2WM,38,6430/2WM OBRAZEK ANIOŁEK 10x10 CM,86.47,207.53,2026-02-28 01:35:58
6430/2X,31,6430/2X OBRAZEK ANIOŁEK 12x12 CM,130.87,287.91,2026-02-28 01:35:58
6430/2XW,48,6430/2XW OBRAZEK ANIOŁEK 14x14 CM,142.56,313.63,2026-02-28 01:35:58
6430/2XWM,11,6430/2XWM OBRAZEK ANIOŁEK 14x14 CM,142.56,313.63,2026-02-28 01:35:58
6430/3W,46,6430/3W OBRAZEK ANIOŁEK 19x19 CM,222.02,444.04,2026-02-28 01:35:58
6432/1,247,6432/1 OBRAZEK ŚW. RODZINA 8x7 CM,68.94,165.46,2026-02-28 01:35:58
6432/2,42,"6432/2 OBRAZEK ŚW. RODZINA 11x9,5 CM",93.48,224.35,2026-02-28 01:35:58
6432/3,0,"6432/3 OBRAZEK ŚW. RODZINA 15,5x14 CM",146.06,321.33,2026-02-28 01:35:58
6432/5,40,6432/5 OBRAZ ŚW. RODZINA 20x18 CM,216.17,432.34,2026-02-28 01:35:58
6432/6,21,6432/6 OBRAZ ŚW. RODZINA 28x25 CM,384.44,691.99,2026-02-28 01:35:58
6432/7,16,6432/7 OBRAZ ŚW. RODZINA 36x33 CM,611.13,1100.03,2026-02-28 01:35:58
6432SW/2,29,"6432SW/2 OBRAZEK ŚW. RODZINA 11x9,5 CM",93.48,224.35,2026-02-28 01:35:58
6432SW/3,40,"6432SW/3 OBRAZEK ŚW. RODZINA 15,5x14 CM",146.06,321.33,2026-02-28 01:35:58
6432SW/5,36,6432SW/5 OBRAZ ŚW. RODZINA 20x18 CM,216.17,432.34,2026-02-28 01:35:58
6432SW/6,33,6432SW/6 OBRAZ ŚW. RODZINA 28x25 CM,384.44,691.99,2026-02-28 01:35:58
6432SW/7,13,6432SW/7 OBRAZ ŚW. RODZINA 36x33 CM,611.13,1100.03,2026-02-28 01:35:58
6432W/1,43,"6432W/1 PANEL ŚW. RODZINA 11x10,5 CM",74.78,179.47,2026-02-28 01:35:58
6432W/2,29,6432W/2 PANEL ŚW. RODZINA 16x15 CM,104.00,228.80,2026-02-28 01:35:58
6432W/3,14,"6432W/3 PANEL ŚW. RODZINA 21x19,5 CM",164.76,329.52,2026-02-28 01:35:58
6432W/5,19,"6432W/5 PANEL ŚW. RODZINA 27,5x25,5 CM",247.72,495.44,2026-02-28 01:35:58
6433/1,15,6433/1 OBRAZEK MATKA BOŻA 8x7 CM,68.94,165.46,2026-02-28 01:35:58
6433/2,58,"6433/2 OBRAZEK MATKA BOŻA 11x9,5 CM",93.48,224.35,2026-02-28 01:35:58
6433/3,45,"6433/3 OBRAZEK MATKA BOŻA 15,5x14 CM",146.06,321.33,2026-02-28 01:35:58
6433/5,23,6433/5 OBRAZ MATKA BOŻA 20x18 CM,216.17,432.34,2026-02-28 01:35:58
6442/2,28,6442/2 OBRAZEK ANIOŁEK 6x9 CM,73.62,176.69,2026-02-28 01:35:58
6442/2X,29,6442/2X OBRAZEK ANIOŁEK 9x13 CM,114.51,251.92,2026-02-28 01:35:58
6442/3,8,6442/3 OBRAZEK ANIOŁEK 13x18 CM,219.68,439.36,2026-02-28 01:35:58
6443/1,26,"6443/0 OBRAZEK JEZU UFAM TOBIE 4,5x9 CM",64.27,154.25,2026-02-28 01:35:58
6443/2,44,6443/2 OBRAZEK JEZU UFAM TOBIE 6x12 CM,86.47,207.53,2026-02-28 01:35:58
6443/2COL,38,6443/2COL OBRAZEK JEZU UFAM TOBIE 6x12    CM,92.31,221.54,2026-02-28 01:35:58
6443/2WM,6,6443/2WM OBRAZEK JEZU UFAM TOBIE 8x14 CM,92.31,221.54,2026-02-28 01:35:58
6443/2X,64,6443/2X OBRAZEK JEZU UFAM TOBIE 9x18 CM,142.56,313.63,2026-02-28 01:35:58
6443/2XCOL,40,6443/2XCOL OBRAZEK JEZU UFAM TOBIE 9x18  CM,153.07,306.14,2026-02-28 01:35:58
6443/2XWM,0,6443/2XWM OBRAZEK JEZU UFAM TOBIE 11x20   CM,155.41,310.82,2026-02-28 01:35:58
6443/3,28,6443/3 OBRAZEK JEZU UFAM TOBIE 12x24 CM,220.85,441.70,2026-02-28 01:35:58
6443/3COL,15,6443/3COL OBRAZEK JEZU UFAM TOBIE 12x24  CM,236.04,472.08,2026-02-28 01:35:58
6443/3WM,14,6443/3WM OBRAZEK JEZU UFAM TOBIE 15x27  CM,244.22,488.44,2026-02-28 01:35:58
6443/5,21,6443/5 OBRAZ JEZU UFAM TOBIE 18x36 CM,445.20,801.36,2026-02-28 01:35:58
6443/5COL,4,6443/5COL OBRAZ JEZU UFAM TOBIE 18x36 CM,475.58,856.04,2026-02-28 01:35:58
6443F/2X,7,6443F/2X PANEL JEZU UFAM TOBIE 21x23 CM,169.43,338.86,2026-02-28 01:35:58
6443FP/2X,21,6443FP/2X PANEL JEZU UFAM TOBIE 21x23 CM,169.43,338.86,2026-02-28 01:35:58
6443W/2X,15,6443W/2X PANEL JEZU UFAM TOBIE 16x25 CM,165.93,331.86,2026-02-28 01:35:58
6443W/3,5,6443W/3 PANEL JEZU UFAM TOBIE 21x33 CM,260.58,469.04,2026-02-28 01:35:58
6444/2,21,6444/2 OBRAZEK ANIOŁKI 8x8 CM,80.63,193.51,2026-02-28 01:35:58
6444/2X,77,6444/2X OBRAZEK ANIOŁKI 12x12 CM,130.87,287.91,2026-02-28 01:35:58
6444/2XW,15,6444/2XW OBRAZEK ANIOŁKI 14x14 CM,142.56,313.63,2026-02-28 01:35:58
6444/3,9,6444/3 OBRAZEK ANIOŁKI 16x16 CM,200.98,401.96,2026-02-28 01:35:58
6446/2X,23,6446/2X OBRAZEK ANIOŁ STRÓŻ 9x13 CM,120.36,264.79,2026-02-28 01:35:58
6446/3,17,6446/3 OBRAZEK ANIOŁ STRÓŻ 13x18 CM,219.68,439.36,2026-02-28 01:35:58
6448/1,0,6448/1 OBRAZEK ANIOŁEK 8x7 CM,68.94,165.46,2026-02-28 01:35:58
6448/1COL,1,6448/1COL OBRAZEK ANIOŁEK 8x7 CM,39.36,102.34,2026-02-28 01:35:58
6448/1W,22,6448/1W OBRAZEK ANIOŁEK 10x9 CM,73.62,176.69,2026-02-28 01:35:58
6448/1WR,13,6448/1WR OBRAZEK ANIOŁEK 10x9 CM,73.62,176.69,2026-02-28 01:35:58
6448/2,17,"6448/2 OBRAZEK ANIOŁEK 11x9,5 CM",93.48,224.35,2026-02-28 01:35:58
6448/3,14,"6448/3 OBRAZEK ANIOŁEK 15,5x14 CM",146.06,321.33,2026-02-28 01:35:58
6449/1,340,6449/1 OBRAZEK ANIOŁEK 8x7 CM,68.94,165.46,2026-02-28 01:35:58
